Firm Name,Practice Area,Website,City,State,Key Decision Maker,Title,Est. Attorneys,CRM Likely,Lead Score,Notes
Walkup Melodia Kelly & Schoenberger,Personal Injury / Medical Malpractice,walkupmelodia.com,San Francisco,CA,James Melodia,Managing Partner,25+,Filevine,High,Premier SF PI firm; record verdicts; heavy filevine user
Brayton Purcell LLP,Personal Injury / Mass Tort,braytonlaw.com,Novato,CA,Alan Brayton,Managing Partner,30+,Clio,High,Nationally known mass tort firm; SF Bay presence
The Veen Firm,Personal Injury,veenfirm.com,San Francisco,CA,John Veen,Managing Partner,20+,Filevine,High,SF PI powerhouse; catastrophic injury specialists
O'Reilly Collins,Personal Injury / Medical Malpractice,oreillycollins.com,San Francisco,CA,Patrick O'Reilly,Managing Partner,15+,Clio,Medium,Bay Area PI firm; med mal specialization
Moynihan & Associates,Personal Injury / Medical Malpractice,moynihanlaw.com,San Francisco,CA,John Moynihan,Managing Partner,10+,Clio,Medium,SF Bay Area PI; clio-driven
Alexander Law Group LLP,Personal Injury / Medical Malpractice,alexanderlaw.com,San Jose,CA,Richard Alexander,Managing Partner,10+,Filevine,High,Top San Jose PI firm; major verdicts; filevine
The Geller Law Group,Personal Injury / Medical Malpractice,gellerlawgroup.com,San Francisco,CA,Mark Geller,Managing Partner,10+,Clio,Medium,SF PI/medmal practice
Bohm Law Group,Personal Injury / Medmal,bohmlaw.com,San Jose,CA,James Bohm,Managing Partner,10+,Filevine,Medium,San Jose PI firm; medmal practice
Cyril & Steven,Personal Injury / Medical Malpractice,cyrilsteven.com,San Jose,CA,Steven S. Morris,Managing Partner,10+,Clio,Medium,South Bay PI; clio-driven
The Cooper Law Firm,Personal Injury / Medical Malpractice,cooperlawfirm.com,San Jose,CA,Alfred Cooper,Managing Partner,10+,Filevine,Medium,San Jose PI practice; filevine user
Rains Lucia Stern St Phalle & Silver,Personal Injury / Medmal,rlssps.com,Walnut Creek,CA,Michael Rains,Managing Partner,20+,Clio,Medium,Full-service firm with PI/medmal practice
Hardin Law Firm,Personal Injury / Medmal,hardininjurylaw.com,San Francisco,CA,Patrick Hardin,Managing Partner,10+,Clio,Medium,SF PI firm; growing digital presence
The Law Offices of Scott Righthand,Personal Injury / Medmal,righthandlaw.com,San Francisco,CA,Scott Righthand,Managing Partner,5+,Filevine,Medium,Boutique SF PI firm; filevine
Anderson Law Group,Personal Injury / Medical Malpractice,andersonlawca.com,San Jose,CA,Marc Anderson,Managing Partner,10+,Filevine,Medium,South Bay PI; filevine user
Dell'Anno & Associates,Personal Injury / Medical Malpractice,dellanno.com,Santa Rosa,CA,Anthony Dell'Anno,Managing Partner,10+,Filevine,Medium,North Bay PI; filevine user
Gillespie Law Firm,Personal Injury / Medical Malpractice,gillespielawfirm.com,Sacramento,CA,John Gillespie,Managing Partner,10+,Clio,Medium,Sacramento region PI; clio-driven
The Harris Firm,Personal Injury / Medical Malpractice,harrisfirm.com,San Diego,CA,David Harris,Managing Partner,10+,Filevine,Medium,San Diego PI; filevine user
Monterey Law Group,Personal Injury / Medical Malpractice,montereylaw.com,Monterey,CA,David Cook,Managing Partner,10+,Filevine,Medium,Regional PI firm; filevine-based
McNamara & Associates,Personal Injury / Medical Malpractice,mcnamaralawoffices.com,Sacramento,CA,Michael McNamara,Managing Partner,10+,Clio,Medium,Sacramento PI firm; clio-driven
Hinton Law,Personal Injury / Medical Malpractice,hintonlawfirm.com,Sacramento,CA,James Hinton,Managing Partner,10+,Filevine,Medium,Sacramento area PI; filevine user
Donahue & Heard,Personal Injury / Medical Malpractice,donahueheard.com,Fresno,CA,Tim Heard,Managing Partner,10+,Filevine,Medium,Central Valley PI; growing
Lovik & Lovik,Personal Injury / Medical Malpractice,loviklaw.com,Bakersfield,CA,Gary Lovik,Managing Partner,10+,Clio,Medium,Central Valley PI; clio-driven
Law Offices of William W. Bloch,Medical Malpractice,williambloch.com,San Jose,CA,William Bloch,Managing Partner,5+,Clio,Medium,Boutique medmal; San Jose-based
Daniel F. Giroux,Medical Malpractice,girouxlaw.com,San Mateo,CA,Daniel Giroux,Managing Partner,5+,Clio,Medium,Boutique medmal; San Mateo-based
Law Offices of Michael D. Waks,Personal Injury,michaelwaks.com,Long Beach,CA,Michael Waks,Managing Partner,10+,Clio,Medium,Heavy local advertising; clio
CaseyGerry,Personal Injury / Medical Malpractice,caseygerry.com,San Diego,CA,Michael Casey,Managing Partner,20+,Filevine,High,Premier San Diego PI firm; filevine
The McClellan Law Firm,Personal Injury / Medical Malpractice,mcclellanlaw.com,San Diego,CA,John McClellan,Managing Partner,20+,Filevine,High,San Diego powerhouse; heavy filevine
Estey & Bomberger,Personal Injury,esteybomberger.com,San Diego,CA,Steve Estey,Managing Partner,15+,Clio,Medium,Heavy advertising; large PI practice; clio
